"","Camera","Species","full_species","Common name","Origin","Date","Time","Hour"
"1811","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/24/18",10:30:27,10
"1812","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",04:55:47,4
"1813","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/23/18",01:37:36,1
"1814","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/24/18",10:30:39,10
"1815","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",04:56:00,4
"1816","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/24/18",10:30:58,10
"1817","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",04:56:10,4
"1818","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/23/18",03:29:07,3
"1819","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/24/18",10:31:21,10
"1820","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/23/18",03:29:21,3
"1821","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/23/18",03:29:32,3
"1822","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/23/18",03:29:50,3
"1823","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",04:57:05,4
"1824","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/23/18",03:31:12,3
"1825","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/24/18",17:22:11,17
"1826","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",04:57:46,4
"1827","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/23/18",04:04:38,4
"1828","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/24/18",17:22:25,17
"1829","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/24/18",17:22:35,17
"1830","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",04:58:14,4
"1831","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",05:01:47,5
"1832","HC2 A","CANLAT","Canis latrans","Coyote","Native","12/24/18",17:59:09,17
"1833","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",05:02:28,5
"1834","HC2 A","CANLAT","Canis latrans","Coyote","Native","12/24/18",18:04:55,18
"1835","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",05:02:43,5
"1836","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",05:02:52,5
"1837","HC2 A","RATNOR","Rattus norvegicus","Brown rat","Nonnative","12/24/18",23:37:35,23
"1838","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",05:03:09,5
"1839","HC2 A","RATNOR","Rattus norvegicus","Brown rat","Nonnative","12/24/18",23:57:08,23
"1840","HC2 A","SYLAUD","Sylvilagus audubonii","Desert cottontail","Native","12/27/20",05:04:13,5
