Date ,Text,Link
9/19/2026,"I started to revamp my website. I am adding sections and putting more graphs and maps to showcase my data science skills. Also, updated my publications page. Let me know what you think about it!! ",
9/15/2026,New OA publication alert! Our paper The Role of Holistic Mentorship in Academia was published today and I could not be more excited and thankful to my lovely friends Christine C. Rega-Brodsky and Diana J. R. Lafferty. Check it out in my publications tab. ,https://esajournals.onlinelibrary.wiley.com/doi/10.1002/ecs2.70749
